,Tweet_stemm
2190,"['data', 'scienc']"
2191,"['covid', 'death', 'surpass', 'battl', 'loss', 'civil', 'covid', 'coronaviru', 'epitwitt', 'scicomm', 'scienc']"
2192,"['last', 'month', 'prove', 'lock', 'flaw', 'data', 'scienc', 'polic', 'die', 'shop', 'worker', 'dyin']"
2193,"['yeah', 'shelf', 'cool', 'data', 'scienc']"
2194,"['medic', 'scienc', 'york', 'lead', 'data', 'scientist', 'seatgeek', 'look', 'data', 'scienc', 'lead', 'join']"
2195,"['tracker', 'project', 'develop', 'need', 'lang', 'nvidia', 'jetson', 'nano', 'machin', 'learn']"
2196,"['scientif', 'data', 'debunk', 'efficaci', 'suppos', 'listen', 'snot', 'nose', 'angri', 'punk', 'ignor', 'scienc']"
2197,"['compsci', 'data', 'scienc', 'definit', 'linear', 'algebra', 'requir', 'part', 'degre']"
2198,"['understand', 'still', 'realli', 'solid', 'data', 'anoth', 'much', 'inf']"
2199,"['sinc', 'get', 'retweet', 'guess', 'data', 'data', 'data']"
2200,"['googl', 'link', 'datasoc', 'newslett', 'complain', 'compani', 'like', 'googl', 'track', 'everyth']"
2201,"['tech', 'leader', 'news', 'constel', 'shortlist', 'selfservic', 'advanc', 'analyt']"
2202,"['coupon', 'code', 'full', 'data', 'scienc', 'machin', 'learn', 'cours']"
2203,"['keep', 'wolf', 'love', 'fire', 'inspir', 'data', 'nice', 'earth', 'scienc']"
2204,"['question', 'follow', 'taken', 'advanc', 'math', 'class', 'finish', 'multivari', 'calc']"
2205,"['citi', 'hand', 'exampl', 'doesnt', 'prove', 'efficaci', 'guess']"
2206,"['creat', 'free', 'account', 'intermedi', 'master', 'complex', 'queri', 'necessari', 'answer', 'wide', 'varieti']"
2207,"['python', 'datasci', 'comprehens', 'numpi', 'panda', 'code', 'cheatsheet']"
2208,"['selfinterest', 'also', 'enjoy', 'collect', 'data', 'scienc', 'yeah', 'nerd']"
2209,"['felt', 'grad', 'school', 'peopl', 'look', 'strang', 'said', 'build']"
2210,"['cours', 'someth']"
2211,"['matter', 'much', 'epidemiolog', 'learn', 'mani', 'way', 'epidemiologist']"
2212,"['topic', 'ethic', 'data', 'scienc', 'data', 'scienc', 'project', 'ethic', 'organ', 'must']"
2213,"['follow', 'scienc', 'spout', 'read']"
2214,"['understand', 'bioinformat', 'beginn', 'data', 'scienc', 'datasci', 'machinelearn', 'python', 'bioinformat']"
2215,"['weekend', 'read', 'research', 'associ', 'jeff', 'chen', 'written', 'fantast', 'blog', 'post', 'policymak']"
2216,"['trophi', 'deadlin', 'extend', 'midnight', 'decemb', 'accelerateh', 'award', 'four', 'categori', 'microscop', 'medtech', 'scienc']"
2217,"['asuu', 'decid', 'make', 'headway', 'onlin', 'cours', 'learn', 'freeexpir', 'product']"
2218,"['cours', 'video', 'data', 'scienc', 'machin', 'learn', 'cours', 'introduct']"
2219,"['chart', 'come', 'data', 'report', 'yesterday', 'tabl', 'present', 'governor', 'base']"
2220,"['arttech', 'data', 'paint', 'algorithm', 'brush', 'inspir', 'word', 'happen']"
2221,"['arttech', 'data', 'paint', 'algorithm', 'brush', 'inspir', 'word', 'happ']"
2222,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2223,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2224,"['forest', 'microclim', 'rais', 'interest', 'discuss', 'recent', 'thank', 'data', 'share', 'transpat', 'mann']"
2225,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2226,"['delight', 'paper', 'onlin', 'util', 'spatial', 'data']"
2227,"['four', 'phd', 'scienc', 'engin', 'award', 'studentvisa', 'holder', 'last', 'year', 'data', 'underscor', 'critica']"
2228,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2229,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2230,"['post', 'data', 'scienc', 'quantum', 'comput', 'chronicl', 'author', 'public', 'address', 'topic']"
2231,"['base', 'data', 'center', 'system', 'scienc', 'engin', 'john', 'hopkin', 'univers', 'record', 'covid']"
2232,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2233,"['glad', 'folk', 'final', 'realiz', 'nate', 'silver', 'gain', 'massiv', 'platform']"
2234,"['understand', 'bioinformat', 'beginn', 'data', 'scienc', 'mac']"
2235,"['virtual', 'fact', 'meet', 'next', 'week', 'tue', 'scienc', 'updat', 'talk', 'summar', 'tele']"
2236,"['scienc', 'data', 'rise', 'case', 'stayathom', 'lockdown', 'outdoor', 'less']"
2237,"['book', 'deepen', 'command', 'python', 'machin', 'learn', 'bigdata', 'analyt', 'datasci', 'machinelearn']"
2238,"['london', 'celebr', 'year', 'anniversari', 'honour', 'pwitlondon', 'trail', 'blazer', 'includ']"
2239,"['matter', 'much', 'epidemiolog', 'learn', 'mani', 'way', 'epid']"
2240,"['protein', 'learn', 'medium', 'characteris', 'gene', 'express', 'protein', 'involv', 'cognit', 'process']"
2241,"['scienc', 'data', 'politician', 'crush', 'hospit', 'industryani', 'elect']"
2242,"['interpret', 'odd', 'ratio', 'fisher', 'exact', 'test', 'medium', 'calcul', 'odd', 'ratio', 'appli', 'fisher', 'test']"
2243,"['featur', 'handl', 'medium', 'articl', 'understand', 'handl', 'categor', 'numer', 'featur', 'giv']"
2244,"['data', 'scienc', 'skill', 'superpow', 'artificialintellig', 'fintech']"
2245,"['protein', 'learn', 'medium', 'characteris', 'gene', 'express', 'protein', 'involv', 'cognit', 'pro']"
2246,"['interpret', 'odd', 'ratio', 'fisher', 'exact', 'test', 'medium', 'calcul', 'odd', 'ratio', 'appli', 'fisher']"
2247,"['featur', 'handl', 'medium', 'articl', 'understand', 'handl', 'categor', 'numer', 'featur']"
2248,"['understand', 'bioinformat', 'beginn', 'data', 'scienc']"
2249,"['pretti', 'much', 'grade', 'leadership', 'sacramento', 'joaquin', 'valley', 'month']"
2250,"['show', 'data', 'know', 'scienc', 'stuff', 'respons', 'outdoor', 'dine', 'wors', 'spreadin']"
2251,"['sexism', 'scienc', 'watson', 'crick', 'realli', 'steal', 'rosalind', 'franklin', 'data', 'matthew', 'cobb']"
2252,"['learn', 'careerbuild', 'skill', 'need', 'succeed', 'field', 'data', 'scienc', 'daysof']"
2253,"['spread', 'gather', 'especi', 'late', 'night', 'alcohol', 'involv']"
2254,"['norm', 'judgement', 'permeat', 'scienc', 'make', 'interpret', 'data', 'possibl', 'first', 'plac']"
2255,"['appreci', 'tweet', 'motiv', 'start', 'data', 'scienc', 'journey']"
2256,"['watch', 'episod', 'data', 'think', 'bunch', 'small', 'repair', 'robot', 'might', 'kind', 'life', 'form', 'fir']"
2257,"['overfit', 'revers', 'mediocr', 'bane', 'data', 'scienc', 'bigdata', 'businessanalyt']"
2258,"['astronom', 'accept', 'propos', 'research', 'use', 'data', 'avail', 'archiv', 'includ']"
2259,"['data', 'dude', 'brought', 'data', 'next', 'bring', 'expert', 'strike', 'three']"
2260,"['week', 'data', 'scienc', 'confer', 'data', 'west']"
2261,"['help', 'code', 'today', 'wonder', 'delet', 'space', 'ad', 'comma']"
2262,"['contract', 'trace', 'extrem', 'flaw', 'best', 'scienc', 'math', 'specul', 'use']"
2263,"['webinar', 'data', 'ownership', 'seri', 'open', 'scienc', 'open', 'data']"
2264,"['marin', 'biologist', 'took', 'cours', 'explor', 'work', 'data', 'scienc']"
2265,"['marin', 'biologist', 'took', 'cours', 'explor', 'work', 'data', 'scienc']"
2266,"['marin', 'biologist', 'took', 'cours', 'explor', 'work', 'data', 'scienc']"
2267,"['nope', 'right', 'human', 'scienc', 'experi', 'year', 'worth', 'data', 'would', 'tell', 'safe']"
2268,"['mental', 'health', 'data', 'scienc', 'specialist', 'nairobi', 'ikokazik']"
2269,"['data', 'scienc']"
2270,"['trend', 'insid', 'toxic', 'cultur', 'hobbl', 'coatu', 'shortliv', 'quant', 'fund', 'busi', 'insid', 'tech']"
2271,"['covid', 'death', 'surpass', 'battl', 'loss', 'civil', 'covid', 'coronaviru', 'epitwitt', 'scicomm']"
2272,"['datasci', 'skill', 'superpow', 'fintech', 'artificialintellig', 'mac']"
2273,"['topic', 'ethic', 'data', 'scienc', 'data', 'scienc', 'project', 'ethic', 'organ', 'must']"
2274,"['understand', 'bioinformat', 'beginn', 'data', 'scienc', 'machinelearn', 'learn']"
2275,"['tech', 'lane', 'data', 'scienc', 'look', 'forward', 'transform', 'africa', 'machin', 'learn']"
2276,"['garbag', 'garbag', 'great', 'articl', 'import', 'think', 'care', 'data', 'come', 'abou']"
2277,"['athlet', 'task', 'input', 'train', 'variabl', 'subject', 'questionnair', 'outfit', 'wearabl']"
2278,"['studi', 'find', 'divers', 'data', 'scienc', 'team', 'reduc', 'algorithm', 'bia', 'venturebeat']"
2279,"['accuraci', 'calcul', 'absenc', 'live', 'experi', 'offend', 'also', 'put', 'real', 'danger']"
2280,"['tenuretrack', 'tenur', 'posit', 'open', 'human', 'perform', 'wexpertis', 'research', 'data', 'sci']"
2281,"['dog', 'cant', 'differenti', 'similar', 'sound', 'human', 'word', 'data', 'reveal', 'similar', 'brain', 'activ', 'command']"
2282,"['scienc', 'empir', 'consist', 'time', 'round', 'data']"
2283,"['peopl', 'data', 'publish', 'trial', 'mrna', 'technolog']"
2284,"['scienc', 'save', 'read', 'astronomi', 'bigdata', 'biolog', 'chemistri']"
2285,"['follow', 'scienc', 'data', 'logic', 'point', 'rout', 'caus', 'kevin', 'easili', 'confus']"
2286,"['provid', 'scientif', 'data', 'peer', 'review', 'otherwis', 'propaganda', 'scienc']"
2287,"['research', 'catch', 'oldest', 'tropic', 'reef', 'fish', 'known', 'scienc', 'read', 'astronomi', 'bigda']"
2288,"['data', 'manipul', 'machin', 'learn', 'learn', 'python', 'skill', 'need', 'succeed', 'excit', 'field', 'data', 'scienc']"
2289,"['subscrib', 'quppler', 'youtub', 'easiest', 'pictori', 'explan', 'data', 'scienc', 'concept', 'bigdata', 'analyt', 'datascien']"
2290,"['python', 'learn', 'code', 'program', 'python', 'program', 'master', 'data', 'analysi', 'analyt', 'data', 'scienc', 'machin', 'lear']"
2291,"['legit', 'reliabl', 'taxat', 'religion', 'manag', 'physic', 'philosophi', 'english', 'math', 'bookreview', 'essa']"
2292,"['free', 'data', 'scienc', 'book', 'data', 'scienc', 'free', 'book', 'start', 'bigdata', 'analyt', 'datasci', 'fintech', 'iiot']"
2293,"['featur', 'cours', 'data', 'scienc', 'cours', 'complet', 'datasci', 'bootcamp', 'demand', 'skill', 'statist']"
2294,"['probabl', 'statist', 'walli', 'first', 'econometr', 'method', 'graem', 'mizon', 'uppersecond', 'econom', 'taught']"
2295,"['research', 'catch', 'oldest', 'tropic', 'reef', 'fish', 'known', 'scienc', 'read', 'astronomi']"
2296,"['data', 'scienc', 'dine', 'case']"
2297,"['white', 'keep', 'repeat', 'word', 'scienc', 'data', 'american', 'peopl', 'keep', 'give', 'trust', 'confid']"
2298,"['sport', 'valu', 'judgementopt', 'decis', 'kid', 'remot', 'school', 'ampno', 'person', 'dine']"
2299,"['white', 'keep', 'repeat', 'word', 'scienc', 'data', 'american', 'peopl', 'keep', 'give', 'trust', 'confid']"
2300,"['doubt', 'youv', 'read', 'data', 'wasnt', 'manipul', 'trump', 'propagandi']"
2301,[]
2302,"['nanodegre', 'program', 'learn', 'import', 'nanodegre', 'program', 'sha']"
2303,"['data', 'scienc', 'boot', 'camp']"
2304,"['data', 'encod', 'systemat', 'racism', 'technolog', 'review']"
2305,"['thank', 'goe', 'share', 'pain', 'systemat', 'review', 'process', 'togeth']"
2306,"['work', 'dataset', 'finetun', 'data', 'scienc', 'skill', 'datascientist', 'progress']"
2307,"['busi', 'owner', 'want', 'advetis', 'busienss', 'like', 'googl', 'keyword', 'khojinindia', 'regist']"
2308,"['busi', 'owner', 'want', 'advetis', 'busienss', 'like', 'googl', 'keyword', 'khojinindia', 'regi']"
2309,"['retweet', 'select', 'team', 'ultralearn', 'data', 'scienc', 'part', 'bigdata']"
2310,"['fall', 'first', 'bicycl', 'would', 'like', 'break', 'bone', 'think', 'scienc', 'evolv']"
2311,"['free', 'data', 'sceinc', 'book', 'upgrad', 'data', 'scienc', 'journey']"
2312,"['data', 'manipul', 'machin', 'learn', 'learn', 'python', 'skill', 'need', 'succeed', 'excit', 'field', 'data']"
2313,[]
2314,"['anyon', 'advoc', 'lockdown', 'point', 'commit', 'crime', 'scienc', 'data', 'common', 'sens', 'constit']"
2315,"['learn', 'careerbuild', 'skill', 'need', 'succeed', 'field', 'data', 'scienc']"
2316,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2317,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2318,"['scientist', 'doctor', 'pretti', 'promin', 'one', 'argu', 'respect', 'metro', 'atlanta', 'school', 'district', 'honor', 'scie']"
2319,"['jason', 'expect', 'name', 'call', 'scienc', 'data', 'noth']"
2320,"['wolf', 'levin', 'follow', 'scienc', 'admit', 'latest', 'closur', 'announc', 'decis']"
2321,"['gener', 'think', 'peer', 'review', 'great', 'idea', 'think', 'idea', 'continu', 'updat']"
2322,"['data', 'scienc', 'still', 'deeplearn', 'artificialintellig', 'machinel']"
2323,"['advic', 'colleg', 'student', 'look', 'data', 'scienc', 'field', 'datasci']"
2324,"['employ', 'want', 'data', 'scientist', 'ioana', 'toward', 'data', 'scienc', 'datasci', 'artificialintelligenc']"
2325,"['featur', 'handl', 'deepak', 'jain', 'toward', 'data', 'scienc', 'datasci', 'artificialintellig', 'machinelearn', 'bigdat']"
2326,"['statist', 'power', 'power', 'analysi', 'medium', 'statist', 'hypothesi', 'testinga', 'statist', 'hypothesi', 'test', 'make']"
2327,"['summer', 'computersci', 'datasci', 'internship']"
2328,"['scienc', 'data']"
2329,"['covidvaccin', 'topic', 'grate', 'trust', 'familymedicin', 'scienc', 'expert', 'review', 'summar']"
2330,"['sexism', 'scienc', 'watson', 'crick', 'realli', 'steal', 'rosalind', 'franklin', 'data', 'matthew', 'cobb']"
2331,"['elimin', 'unnecessari', 'test', 'use', 'telehealth', 'provid', 'medic', 'abort', 'safe', 'increas', 'access', 'covid']"
2332,"['free', 'data', 'sceinc', 'book', 'upgrad', 'data', 'scienc', 'journey']"
2333,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2334,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2335,"['overfit', 'revers', 'mediocr', 'bane', 'data', 'scienc', 'bigdata', 'businessanalyt', 'datasci']"
2336,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2337,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2338,"['role', 'data', 'entri', 'oper', 'entri', 'leveldatabaseartssciencewpm', 'data', 'manag']"
2339,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2340,"['scienc', 'denier', 'starter', 'suspicion', 'count', 'evid', 'data', 'help']"
2341,"['michigan', 'hire', 'hire', 'tenur', 'track', 'faculti', 'data', 'scienc', 'rank', 'applic']"
2342,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2343,"['tracker', 'project', 'develop', 'need', 'lang', 'nvidia', 'jetson', 'nano', 'machin', 'learn']"
2344,"['lockdown', 'restrict', 'polici', 'scienc', 'your']"
2345,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2346,"['well', 'look', 'analyz', 'data', 'call', 'data', 'scienc']"
2347,"['manag', 'employ', 'python', 'develop', 'month', 'like', 'overal']"
2348,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2349,"['marketplac', 'idea', 'money', 'monopoli', 'power', 'scholar', 'gatesfound', 'virtual', 'blank', 'check']"
2350,"['build', 'socialmedia', 'allow', 'user', 'worldwid', 'share', 'idea', 'resourc', 'inform']"
2351,[]
2352,"['right', 'nowyou', 'atack', 'alberta', 'economyfrom', 'trudeauit', 'expectedfrom', 'elect']"
2353,"['institut', 'whose', 'core', 'busi', 'data', 'manag', 'find', 'prudent', 'data']"
2354,"['strong', 'background', 'data', 'scienc', 'statist', 'jean', 'mensa', 'chairperson', 'lawyer']"
2355,"['manag', 'employ', 'python', 'develop', 'month', 'like']"
2356,"['data', 'encod', 'systemat', 'racism', 'technolog', 'review']"
2357,"['wont', 'phoni', 'display', 'patriot', 'bare', 'mask', 'underlyi']"
2358,"['summer', 'computersci', 'datasci', 'internship']"
2359,"['found', 'recent', 'everyth', 'like', 'data', 'scienc', 'mobil', 'phone', 'wolfram', 'alpha', 'excel']"
2360,"['tit', 'scientif', 'imposs', 'follow', 'scienc', 'prod']"
2361,"['lifetim', 'opportun', 'collect', 'data', 'peopl', 'discard', 'pandem']"
2362,"['googl', 'sheet', 'tutori', 'sport', 'scienc', 'data', 'valid', 'tip', 'trick', 'collect', 'data', 'data']"
2363,"['pankaj', 'patel', 'say', 'build', 'public', 'confid', 'thru', 'strong', 'scienc', 'strong', 'communicationamp', 'correct']"
2364,"['practic', 'understand', 'believ', 'data', 'scienc', 'valua']"
2365,"['scienc', 'love', 'data', 'appear', 'support', 'hypothesi']"
2366,"['good', 'bless', 'scienc', 'data']"
2367,"['question', 'opensci', 'know', 'share', 'research']"
2368,"['chicago', 'despit', 'see', 'data', 'sure', 'california', 'reach', 'scientif', 'reaction']"
2369,"['dont', 'know', 'work', 'scienc', 'isnt', 'data', 'act', 'dont', 'know', 'fear', 'rupert', 'murdoch', 'pro']"
2370,"['statist', 'power', 'power', 'analysi', 'medium', 'statist', 'hypothesi', 'testinga', 'statist', 'hypothesi', 'test']"
2371,"['evid', 'real', 'life', 'data', 'prove', 'govern', 'impos', 'restrict', 'work']"
2372,"['want', 'auburn']"
2373,"['chicago', 'despit', 'see', 'data', 'sure', 'california', 'reach', 'scientif']"
2374,"['whole', 'thing', 'use', 'data', 'scienc']"
2375,"['watch', 'code', 'tutori', 'udemi', 'here', 'cours', 'data', 'scienc']"
2376,"['make', 'pillow', 'trust', 'know', 'elect', 'data', 'scienc']"
2377,"['main', 'develop', 'trend', 'data', 'scienc', 'machin', 'learn', 'technolog', 'seen', 'expert', 'influen']"
2378,"['featur', 'handl', 'deepak', 'jain', 'toward', 'data', 'scienc', 'datasci', 'artificialintellig', 'machinelearn']"
2379,"['employ', 'want', 'data', 'scientist', 'ioana', 'toward', 'data', 'scienc', 'datasci']"
2380,"['scienceback', 'reason', 'skeptic', 'covid', 'vaccin', 'read']"
2381,"['australia', 'beat', 'emiss', 'target', 'current', 'scienc', 'say', 'meet', 'target']"
2382,"['want', 'work', 'labcorp', 'hire', 'durham', 'click', 'link', 'detail']"
2383,"['fire', 'free', 'udemi', 'cours', 'thread', 'python', 'flask', 'demonstr', 'practic', 'cours', 'python', 'djan']"
2384,"['lawyer', 'know', 'mathemat']"
2385,"['sound', 'like', 'run', 'articl']"
2386,"['advic', 'colleg', 'student', 'look', 'data', 'scienc', 'field', 'datasci']"
2387,"['think', 'better', 'guess', 'stab', 'dont']"
2388,"['toni', 'greenwald', 'publish', 'question', 'articl', 'invalid', 'selfesteem', 'open', 'data', 'req']"
2389,"['covid', 'vaccin', 'help', 'suscept', 'covid', 'health', 'hero', 'american', 'turn', 'wil']"
2390,"['switch', 'data', 'scienc', 'scienc']"
2391,"['switch', 'data', 'scienc', 'scienc']"
2392,"['think', 'call', 'research', 'steal']"
2393,"['scienc', 'nerd', 'yell', 'stephen', 'colbert', 'describ', 'starship', 'flight', 'week']"
2394,"['cours', 'mario', 'believ', 'scienc', 'data', 'research', 'doctor', 'scientist', 'brain', 'behi']"
2395,"['averag', 'weather', 'predictor', 'weatherpredict', 'scienc', 'data', 'averag', 'model']"
2396,"['learn', 'studi', 'data', 'scienc', 'artifici', 'intellig', 'machin', 'learn', 'python', 'julia', 'program', 'languag']"
2397,"['good', 'thing', 'kid', 'grader', 'scienc', 'fair', 'project', 'analyz', 'heart', 'rate', 'play', 'differ']"
2398,"['right', 'restaur', 'stay', 'open', 'data', 'scienc', 'openreatur']"
2399,"['faster', 'data', 'explor', 'jupyt', 'data', 'scienc', 'blog', 'domino', 'domino', 'data']"
2400,"['newsom', 'claim', 'loudli', 'often', 'follow', 'data', 'scienc', 'high', 'priest', 'data', 'analyt']"
2401,"['saturday', 'found', 'scienc', 'behind', 'fake', 'news', 'analyt', 'bigdata', 'rstat', 'reactj', 'datascien']"
2402,"['yeah', 'take', 'ivermectin', 'understand', 'scienc', 'emerg', 'data', 'isnt', 'prescrib']"
2403,"['overwhelm', 'data', 'much', 'point', 'debat']"
2404,"['featur', 'cours', 'machin', 'learn', 'handson', 'python', 'data', 'scienc', 'learn', 'creat', 'machin', 'learn']"
2405,"['sorri', 'includ', 'traumadrama', 'gestapo', 'storm']"
2406,"['empow', 'data', 'team', 'critic', 'way', 'bigdata']"
2407,"['tech', 'lane', 'data', 'scienc', 'look', 'forward', 'transform', 'africa', 'machin']"
2408,"['partit', 'databas', 'bigdata', 'analyt', 'datasci', 'machinelearn', 'iio']"
2409,"['kind', 'behavior', 'alaska', 'dept', 'reprehens', 'anyon', 'attend', 'senat', 'weekli']"
2410,"['artifici', 'intellig', 'data', 'scienc', 'use', 'python', 'copywrit']"
2411,"['recent', 'fascin', 'dilemma', 'soln', 'dilemma', 'mani', 'dataset', 'resourc', 'either']"
2412,"['orient', 'minut', 'excit', 'like', 'data', 'scienc', 'thought', 'jackass', 'well']"
2413,"['extrem', 'safe', 'theori', 'behind', 'design', 'vaccin', 'suggest', 'safe', 'current', 'dat']"
2414,"['data', 'scienc', 'pandem', 'affect', 'popular', 'job']"
2415,"['perfect', 'scienc', 'side', 'govern']"
2416,"['kinda', 'look', 'like', 'politician', 'across', 'countri', 'ignor']"
2417,"['data', 'replic', 'system', 'power', 'sinc', 'type', 'question', 'ask', 'sort', 'inform', 'deem']"
2418,"['work', 'sever', 'month', 'final', 'live', 'depart', 'mathemat', 'statist']"
2419,"['peopl', 'seem', 'think', 'use', 'word', 'scienc', 'justifi', 'lie', 'show', 'verifi', 'data']"
2420,"['empow', 'data', 'team', 'critic', 'way', 'bigdata']"
2421,"['datasci', 'project', 'insight', 'long', 'take', 'deliv', 'larg', 'scale', 'complex', 'data']"
2422,"['start', 'learn', 'free', 'fundament', 'bayesian', 'data', 'analysi', 'learn', 'bayesian', 'data', 'analysi', 'work']"
2423,['surviv']
2424,"['apraxia', 'suffer', 'nonspeak', 'recogn']"
2425,"['next', 'cohort', 'joint', 'univers', 'toronto', 'school', 'continu', 'studi', 'univers', 'waterloo', 'profess']"
2426,"['today', 'confront', 'strip', 'entir', 'commun', 'liberti', 'somehow', 'made', 'safer', 'doi']"
2427,"['republican', 'treat', 'constitut', 'like', 'bibl', 'scienc', 'data', 'fact']"
2428,"['neutral', 'approach', 'futur', 'version', 'data', 'magic', 'unbias', 'data', 'alway', 'subjec']"
2429,"['agre', 'also', 'pretend', 'public', 'suddenli', 'go', 'start', 'pay', 'attent']"
2430,"['interest', 'agre', 'rert', 'seem', 'great', 'sbrt', 'rert', 'essenti', 'long', 'term', 'follow']"
2431,"['child', 'vulner', 'googl', 'death', 'stat', 'covid']"
2432,"['latest', 'blog', 'offer', 'plastiq', 'tipalti', 'offer', 'latest', 'innov', 'corpor', 'payment']"
2433,"['studi', 'find', 'divers', 'data', 'scienc', 'team', 'reduc', 'algorithm', 'bia', 'machineleran', 'datasci', 'bia', 'diver']"
2434,"['lmfao', 'defend', 'scienc', 'lie', 'show', 'data']"
2435,"['great', 'respect', 'duffi', 'appreci', 'tweet', 'word', 'also', 'favor', 'cuomo']"
2436,"['emerg', 'data', 'associ', 'btwn', 'ira', 'respons', 'time', 'sclc', 'paper', 'ira', 'anal']"
2437,"['complet', 'data', 'scienc', 'machin', 'learn', 'bootcamp', 'python', 'numpi', 'deeplearn']"
2438,"['fall', 'time', 'quickli', 'back', 'timesand', 'afraid', 'make', 'look', 'fool', 'time', 'well']"
2439,"['death', 'case', 'number', 'go', 'data', 'scienc', 'fear', 'covidab']"
2440,"['data', 'scienc', 'machin', 'learningtheoryprojectsaz', 'hour', 'deeplearn', 'analyt']"
2441,"['toxicolog', 'field', 'scienc', 'help', 'understand', 'harm', 'effect', 'chemic', 'substanc']"
2442,"['scienc', 'drive', 'data', 'unfortun', 'scientif', 'knowledg', 'lock', 'behind', 'close', 'door', 'time', 'chang']"
2443,"['last', 'month', 'prove', 'lock', 'flaw', 'data', 'scienc', 'polic', 'die', 'shop', 'worker']"
2444,"['artifici', 'intellig', 'data', 'scienc', 'use', 'python', 'copywrit']"
2445,"['open', 'submiss', 'environment', 'data', 'scienc', 'interdisciplinari', 'openaccess', 'journal', 'explor', 'potenti']"
2446,"['follow', 'scienc', 'follow', 'scienc', 'data', 'math', 'elect', 'clear']"
2447,"['complet', 'data', 'scienc', 'machin', 'learn', 'bootcamp', 'python', 'learn', 'deeplearn']"
2448,"['scienceback', 'reason', 'skeptic', 'covid', 'vaccin', 'read']"
2449,"['hope', 'covid', 'horribl', 'morbidli', 'obes', 'brainwash', 'prolockdown', 'ppl']"
2450,"['start', 'learn', 'free', 'fundament', 'bayesian', 'data', 'analysi', 'learn', 'bayesian', 'data', 'analysi']"
2451,"['free', 'mustread', 'datasci', 'machinelearn', 'ebook']"
2452,"['globular', 'cluster', 'interest', 'case', 'studi', 'gaia', 'provid', 'radial', 'veloc', 'data', 'point']"
2453,"['pandem', 'live', 'head', 'idiot', 'said', 'scienc']"
2454,"['futur', 'version', 'data', 'magic', 'unbias', 'data', 'alway', 'subject', 'interpret', 'someon']"
2455,"['wors', 'particular', 'person', 'trait', 'ultim', 'result', 'use', 'fitb']"
2456,"['ensur', 'good', 'grade', 'powerpoint', 'comput', 'scienc', 'geometri', 'psycholog', 'sociolog', 'data', 'analysi', 'thesi', 'project']"
2457,"['take', 'data', 'scienc', 'skill', 'next', 'level', 'volunt', 'greater', 'good']"
2458,"['ensur', 'good', 'grade', 'powerpoint', 'comput', 'scienc', 'geometri', 'psycholog', 'sociolog', 'data', 'analysi', 'thesi']"
2459,"['trump', 'politic', 'mask', 'stupid', 'danger', 'team', 'mask', 'american']"
2460,"['use', 'scienc', 'make', 'thanksgiv', 'safe', 'possibl', 'happen', 'next', 'read']"
2461,"['wolf', 'levin', 'follow', 'scienc', 'admit', 'latest', 'closur', 'announc', 'decis']"
2462,"['data', 'scienc', 'term', 'sexiest', 'centuri', 'thought', 'follow', 'career', 'datasci']"
2463,"['secret', 'turd', 'snubey', 'georg', 'washington', 'bitcoin', 'tofu', 'group', 'clock', 'pizza', 'creamey', 'ghee', 'diarrhea', 'charli', 'brown']"
2464,"['ensur', 'good', 'grade', 'powerpoint', 'comput', 'scienc', 'geometri', 'psycholog', 'sociolog', 'data', 'analysi', 'thesi']"
2465,"['scienc', 'denier', 'starter', 'suspicion', 'evid', 'trust', 'sourc', 'data', 'help']"
2466,"['yeah', 'heard', 'nasti', 'thing', 'said', 'scientist', 'data', 'uncondit', 'support']"
2467,"['stori', 'pars', 'motion', 'file', 'data', 'scienc', 'scratch', 'log', 'david', 'moor', 'toward']"
2468,"['ultim', 'comput', 'scienc', 'challeng', 'cannot', 'store', 'unbound', 'arbitrarili', 'larg', 'chunk']"
