,Tweet_stemm
69,"['congratul', 'win', 'year', 'artist', 'worldwid', 'icon', 'listen', 'choic', 'prize', 'grand', 'prize', 'dae']"
70,"['went', 'crazi']"
71,"['fact', 'music', 'award', 'love', 'support', 'luviti', 'abl', 'next', 'leader']"
72,"['along', 'time', 'come', 'bring', 'great', 'announc', 'avail', 'untoldhottest', 'collab', 'tape']"
73,"['cover', 'biggest', 'african', 'playlist', 'africa', 'listen', 'track', 'activ', 'biggest', 'best']"
74,"['stream', 'madeinlago', 'appl', 'music', 'make', 'sure', 'cloud']"
75,"['fact', 'music', 'award', 'year', 'artist', 'worldwid', 'icon', 'listen']"
76,"['seventeen', 'fact', 'music', 'award', 'perform', 'link', 'svtontma', 'seventeen']"
77,"['also', 'great', 'time', 'reiter', 'much', 'better', 'thing', 'artist', 'quarantin', 'like']"
78,"['harri', 'harri', 'solo', 'fan', 'say', 'alreadi', 'includ', 'solo']"
79,"['seen', 'face', 'like', 'imagin', 'ancient', 'year', 'make', 'ambient', 'musi']"
80,"['like', 'miss', 'ashanti', 'accept', 'battl', 'begin', 'show', 'must', 'appl', 'music']"
81,"['music', 'murder', 'eminem', 'vinyl']"
82,"['someon', 'music']"
83,"['biggest', 'spotifi', 'debut', 'folklor', 'último', 'tour', 'mundo', 'legend', 'never', 'evermor', 'yhl']"
84,"['someth', 'piss', 'know', 'mine', 'jazz', 'music', 'lmaoo']"
85,"['make', 'hard', 'work']"
86,"['music', 'alert', 'releas', 'date', 'decemb', 'major', 'digit', 'distribut', 'platform', 'hotbox', 'record']"
87,"['countri', 'music', 'star', 'charley', 'pride', 'die', 'coronaviru', 'complic']"
88,"['first', 'time', 'went', 'ibiza', 'told', 'stori', 'friend', 'resid']"
89,"['joon', 'talk', 'artist', 'keep', 'make', 'music', 'despit', 'situat', 'without', 'abl', 'onlin', 'concer']"
90,"['hear', 'alway', 'like', 'music', 'parent', 'listen', 'music', 'grow']"
91,"['countri', 'music', 'charli', 'pride', 'pass', 'away', 'today', 'rais', 'music', 'amaz', 'talent', 'miss']"
