,Tweet
57,"RT @btschartdata: 'Life Goes On' receives 5th music show win on this week's MBC Music Core! 🏆

https://t.co/GmbOaw9vpR"
58,"@RichieBuz1 jcole don’t have nearly as much hits as wale wale was on quite a run, Cole make good music but you know… https://t.co/SfOiJJw9rQ"
59,"RT @ABC: BREAKING: Charley Pride, the pioneering Black country music legend who topped the charts with dozens of songs, has died at 86 due…"
60,Just last week a nigha by the name Of BMG HEAVY made the investment and immediately gotta fan before the 2nd verse… https://t.co/chnOb3Mn4y
61,"RT @RVcrave: RV didn't seek love from the public. they stayed true to their music when they released OOTN despite knowing there was a ""blac…"
62,RT @louisoverice: “copy of a copy of a copy” by louis tomlinson is written about the closeting of gay men in the music industry — a thread
63,"RT @sceneryfortae: *Music stops in the middle of the performance*

Taehyung : so what? 
https://t.co/AkTymGgEyo"
65,If I don’t have your music or want to play your music it’s gunna cost you idgaf especially where I’m at it’s a sham… https://t.co/aKrs5g4Ecg
66,"RT @MartySmithESPN: Rest In Peace Mr. Charley Pride.
What an amazing life!

Negro League All Star (who played against Hank Aaron, Willie Ma…"
67,"RT @choi_bts2: BTS at the red carpet of 
2020 TMA (The fact music awards) @BTS_twt 
V &amp; Jungkook https://t.co/4iPQX9vYUG"
68,"RT @PRSPRandCNQER: https://t.co/kH9dKT5VvK

Available on Apple Music &amp; all other streaming services. https://t.co/CEorXSGOdn"
69,RT @Only_rock_radio: On https://t.co/T8ywTwGObC Listen now When Will Normal Return by JJ'S Music Retaliation @jjsmusicretal on https://t.co…
72,"i have no tweet ideas, so imma just say my favourite song by my favourite singers because yo i like music

NSP- The… https://t.co/ubShbbbOFF"
73,"RT @4evertakingpic: Excited to share the latest addition to my #etsy shop: Oasis Music, Liam and Noel Gallagher songs collage, Artwork, Pri…"
75,"RT @btsanalytics: Congratulations to @BTS_twt for winning: 

🏆 Year's Artist
🏆 Worldwide Icon
🏆 Listener's Choice Prize 
🏆 Grand Prize (Dae…"
76,He went so crazy  https://t.co/6U6BTcylZA
77,"RT @CRAVITYstarship: 📸 201212
2020 THE FACT MUSIC AWARDS 🌟

With the love and support from LUVITY,
we were able to win
the 'NEXT LEADER' Aw…"
78,"RT @BhugaBhengu: 🚨🚨🚨  IT'S BEEN ALONG TIME COMING, IT BRINGS ME GREAT JOY  TO ANNOUNCE THE AVAILABILITY OF UNTOLD(Hottest Collab Tape in AF…"
79,RT @stonebwoyb: I’m on the cover of @applemusic biggest African playlist - Africa Now! Listen to my track Activate + the biggest and best s…
80,"RT @WizkidSource: STREAM #MadeinLagos ON APPLE MUSIC!

Make sure there’s a + or cloud. https://t.co/cKV6UR0uhx"
82,"RT @_candyclover: รวมรางวัลที่ @BTS_twt ได้รับจากงานประกาศรางวัล The Fact Music Awards 2020

🏆 Year's Artist
🏆 Worldwide Icon
🏆 Listener's…"
