date,TweetId,Tweet,created_at,geo,place,coordinates,location
2020-12-12  23:41,1337889981528989701,I Hacked into Facebook's Legal Department Admin Panel: https://t.co/JmJ6hl8MLl Comments: https://t.co/Z94kiBDNuM,2020-12-12 22:40:03,,,,
2020-12-12  23:41,1337889981227003910,@X4more1 Did I miss something - what news?,2020-12-12 22:40:02,,,,"Memphis, TN"
2020-12-12  23:41,1337889981222825996,"USA TODAY NEWS USA 
TRUMP CHOOSES TO UNFAITHFULLY TAX TRADES WITH LONG TIME TRADING PARTNER'CHINA'-FOR CHINA THIS I… https://t.co/AAgPQ8Hcte",2020-12-12 22:40:02,,,,Montreal
2020-12-12  23:41,1337889980895682565,RT @bpolitics: A federal judge appointed by President Trump threw out a lawsuit filed by his campaign in Wisconsin that sought to overturn…,2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889979930972168,RT @EquityInformer: Excited to announce that the news on Equity Informer are now full-text searchable. Please note that it will take some t…,2020-12-12 22:40:02,,,,"Mainz, Deutschland"
2020-12-12  23:41,1337889979725475845,RT @909originals: Can Sky Sports News have @tomallencomedy on every week 😆👍#skysports #football https://t.co/HhOZrmDN2k,2020-12-12 22:40:02,,,,"England, United Kingdom"
2020-12-12  23:41,1337889979679338501,"RT @HislopMD: “I wouldn’t want to be first in line for the Covid vaccine!!”

Okay. Good news then. If you got it today you’d be around 2435…",2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889979633029121,RT @jimsciutto: President Trump has departed the Army-Navy game an hour ahead of time. Presidents traditionally remain at the game at least…,2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889979511484418,@CraigParody @Yahiasayed819 BOZBY FAKE NEWS did,2020-12-12 22:40:02,,,,"Luleå, Sverige"
2020-12-12  23:41,1337889979423342592,"RT @Crunchyroll: NEWS: Upcoming Josee, the Tiger and the Fish Anime Film Travels Osaka Metro in Collaboration Trailer

✨ More: https://t.co…",2020-12-12 22:40:02,,,,United Kingdom
2020-12-12  23:41,1337889979259908104,Officials say Angela Merkel's distaste for 'libertine' Boris Johnson blocked a Brexit deal https://t.co/f5KibUOWBV,2020-12-12 22:40:02,,,,London
2020-12-12  23:41,1337889979045994508,"RT @simplysimontfa: BBC accused of comedy bias as research shows 75pc of slots are taken up by anti-Brexit, left-leaning comedians

https:/…",2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889978781675521,"RT @TheFreds: ⁦@MattHancock⁩ enjoys a VERY expensive meal while high streets collapse, suicides, mental illness and unemployment rocket.  h…",2020-12-12 22:40:02,,,,NW England and Scotland.
2020-12-12  23:41,1337889978743832578,RT @ABC: Carjackings have shot up 537% in Minneapolis this year. https://t.co/b00Nb8uTzp,2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889978668367873,Space show to light up Australia's skies https://t.co/tRYe1R84kR,2020-12-12 22:40:02,,,,"Sydney, New South Wales"
2020-12-12  23:41,1337889978198740998,"RT @ex0LetsL0ve: ❗BREAKING NEWS❗

Dispatch couple revealed
congratulations TOBEN and VIVI !

Say congratulations and leave them alone @wear…",2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889978039189504,"I WOKE UP TO SO MICH GOOD NEWS, LET ME CRY",2020-12-12 22:40:02,,,,She/Her
2020-12-12  23:41,1337889977858834433,"Charley Pride, country music's first Black star, dies at 86 - Lynchburg News and Advance https://t.co/p4saSsS1wo https://t.co/jgbHQ7c8UJ",2020-12-12 22:40:02,,,,"Troy, MI"
2020-12-12  23:41,1337889977716260864,Beijing's hegemonial claim must be rejected - 台北時報 https://t.co/z2pIQWATXh,2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889977611513860,SPREAD THE NEWS https://t.co/8lbbwcF4EZ,2020-12-12 22:40:02,,,,she/they 
2020-12-12  23:41,1337889977582014464,Strictly's Ranvir Singh has fans 'scared' after bad night in ballroom - ChronicleLive https://t.co/akdXZfY8K5,2020-12-12 22:40:02,,,,Newcastle
2020-12-12  23:41,1337889977565384710,"Whether powering homes, industry or transportation, the options are plentiful. Argus is constantly examining the po… https://t.co/FwbjDUif5I",2020-12-12 22:40:02,,,,Global (HQ in London) 
2020-12-12  23:41,1337889977519271940,RT @business: Here's our weekly take on events in the world economy and their fallout https://t.co/laAmuMkzAF,2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889977410043907,RT @ThePostsynaptic: Lyme disease ticks produce antibiotic that protects them from human skin bacteria https://t.co/WC5Q1QlwxG https://t.co…,2020-12-12 22:40:02,,,,UK and many places
2020-12-12  23:41,1337889977384853504,Top 10 Trending PPC Strategies for Law Firms - EIN News https://t.co/SCB2EezLHS,2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889977158545408,"@antonioguterres @UN 🚫 #TigrayGenocide 
""Some of the soldiers were Eritrean and some Ethiopian federal soldiers. Th… https://t.co/TmB6dHesTU",2020-12-12 22:40:02,,,,
2020-12-12  23:41,1337889977103998977,MDC sets deer and turkey hunting dates for upcoming seasons #Missouri https://t.co/kpHwwIKYp6,2020-12-12 22:40:01,,,,California
2020-12-12  23:41,1337889976831397890,"Study: After breast cancer surgery, women at higher risk of drug addiction https://t.co/ZfzHMIJb36",2020-12-12 22:40:01,,,,
2020-12-12  23:41,1337889976785068032,Top 10 Trending PPC Strategies for Law Firms - EIN News https://t.co/RPc74wYqf0,2020-12-12 22:40:01,,,,"CANADA, Barrie "
2020-12-12  23:41,1337889976361500672,"2 injured in Saturday shooting, Greensboro police say | Crime - Greensboro News &amp; Record https://t.co/FVvhhtOlDR",2020-12-12 22:40:01,,,,Manchester
2020-12-12  23:41,1337889976122548227,Have you seen her? Texas Amber Alert issued for 6-year-old girl believed to be in grave danger - KPRC Click2Houston… https://t.co/85Q4SJZVAk,2020-12-12 22:40:01,,,,"Ohio, USA"
2020-12-12  23:41,1337889976118247425,"State college football: WMU blows 14-point, fourth-quarter lead, misses out on spot in MAC title game - The Detroit… https://t.co/3dDtTJPfoC",2020-12-12 22:40:01,,,,愛知
2020-12-12  23:41,1337889976038526976,Celebrities pay tribute to Charley Pride - WKRN News 2 https://t.co/u6PBdxwuhg,2020-12-12 22:40:01,,,,
2020-12-12  23:41,1337889975971368960,Nominee to Milwaukee Fire and Police Commission ready to take on tie-breaking role in selecting new chief - Milwauk… https://t.co/o2FZ9u95Mr,2020-12-12 22:40:01,,,,
2020-12-12  23:41,1337889975908462592,RT @Reuters: Breakingviews - AstraZeneca’s $39 billion deal is bold as well as big https://t.co/u0Of2UFXkn https://t.co/5ILy5IipBD,2020-12-12 22:40:01,,,,
2020-12-12  23:41,1337889975824596992,Pink Heals holds party in Oxford for young cancer patients - Anniston Star https://t.co/fAoLWEFnWA,2020-12-12 22:40:01,,,,"USA, Pennsylvania"
2020-12-12  23:41,1337889975786897408,Pink Heals holds party in Oxford for young cancer patients - Anniston Star https://t.co/z7tRmiIW8y,2020-12-12 22:40:01,,,,Newcastle
2020-12-12  23:41,1337889975279341569,"RT @GOPChairwoman: Finally the mainstream media is starting to report on The Biden Crime Family.
 
The Result?
 
They discover an email to…",2020-12-12 22:40:01,,,,"San Diego, CA"
2020-12-12  23:41,1337889975229149186,"Fancy a punt tomorrow? You're in the right place, my friend https://t.co/HnPGsIcvrU",2020-12-12 22:40:01,,,,Often on a racecourse
2020-12-12  23:41,1337889975216578560,"RT @DataProBlog: San Diego Plans for Military-Grade Drone to Catch Speeding Drivers
▸ https://t.co/7g8y7ysaaM

#drones #Privacy #Dataprotec…",2020-12-12 22:40:01,,,,
2020-12-12  23:41,1337889974738272262,RT @TheEconomist: The end of the grand fantasy: restaurant dining may never be the same again https://t.co/HKSe3BlKvA From @1843mag,2020-12-12 22:40:01,,,,
